ID,ProlificApprovals,FluentLanguages,Age,Gender,Ethnicity,CountryBirth,CountryResidence,Nationality,Language,Student,Employment,StartDate_Part1,EndDate_Part1,Progress_Part1,DurationSeconds_Part1,Finished_Part1,RecordedDate_Part1,Consent1_Part1,Consent2_Part1,Consent3_Part1,Consent4_Part1,Consent5_Part1,Consent6_Part1,Consent7_Part1,NoDI1_Comp,NoDI1_TryAgain,NoDI1_Take,NoDI1_Nothing,NoDI2_Comp,NoDI2_TryAgain,NoDI2_Take,NoDI2_Nothing,NoDI3_Comp,NoDI3_TryAgain,NoDI3_Take,NoDI3_Nothing,NoDI4_Comp,NoDI4_TryAgain,NoDI4_Take,NoDI4_Nothing,DI_Comp,DI_TryAgain,DI_Take,DI_Nothing,3PP_Comp,3PP_TryAgain,3PP_Take,3PP_Nothing,DaysWeek,DaysWeek_TryAgain,P2_Decision,Explain,SelfRate_1,SelfRate_2,SelfRate_3,SelfRate_4,SelfRate_5,SelfRate_6,SelfRate_7,SelfRate_8,SelfRate_9,SelfRate_10,SelfRate_11,DecisionConsequences,DecisionConsequences_Text,StartDate_Part2,EndDate_Part2,Progress_Part2,DurationSeconds_Part2,Finished_Part2,RecordedDate_Part2,Consent1_Part2,Consent2_Part2,Consent3_Part2,Consent4_Part2,Consent5_Part2,Consent6_Part2,SDO_1,SDO_2,SDO_3r,SDO_4r,SDO_5,SDO_6,SDO_7r,SDO_8r,SVO_01,SVO_02,SVO_03,SVO_04,SVO_05,SVO_06,SVO_07,SVO_08,SVO_09,SVO_10,SVO_11,SVO_12,SVO_13,SVO_14,SVO_15,Pers_E1,Pers_A1,Pers_C1,Pers_N1,Pers_O1,Pers_Narc1,Pers_E2r,Pers_A2r,Pers_O2r,Pers_C2,Pers_C3r,Pers_Narc2,Pers_O3r,Pers_A3,Pers_N2r,Pers_N3,Pers_N4r,Pers_HonHum1r,Pers_E3r,Pers_A4r,Pers_O4r,Pers_C4r,Pers_E4,Pers_HonHum2r,GodControls,HowReligious,RWA_1r,RWA_2,RWA_3,RWA_4r,RWA_5r,RWA_6,Education,SES_1,BringDown_1,BringUp_1,PolSlider_19,WeeksYear,WeeksYear_TryAgain,Breakfast,YearsLivedCountry
20814,191,English,60,Female,White,United States,United States,United States,English,No,Full-Time,2023-06-20T14:38:13Z,2023-06-20T14:52:00Z,100,827,TRUE,2023-06-20T14:52:01Z,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"I would have £0.40, Player 2 would have £0.00",NA,Yes - I want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.20",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.20",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.40",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.10,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.10,"I would have £0.40, Player 2 would have £0.40",NA,Yes - I want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.90, Player 1 would have £0.50, Player 2 would have £0.60",NA,Yes - I want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,7,NA,Yes - I want to take £0.20 of Player 1's bonus,"Fairness and equality. If the other player took from me, I took from them.",83,0,0,81,4,82,0,0,0,0,82,Yes,NA,2023-06-27T11:47:07Z,2023-06-27T11:56:26Z,100,559,TRUE,2023-06-27T11:56:27Z,Yes,Yes,Yes,Yes,Yes,Yes,4 - Neutral,2 - Somewhat oppose,6 - Somewhat favour,7 - Strongly favour,1 - Strongly oppose,1 - Strongly oppose,7 - Strongly favour,7 - Strongly favour,"85
|
|
85",100||50,"85
|
|
85","63
|
|
68","75
|
|
75","85
|
|
85","81
|
|
81","95
|
|
95","81
|
|
81","93
|
|
93","85
|
|
85","100
|
|
90","75
|
|
75","93
|
|
93","91
|
|
94",2,Very accurate (7),2,Very inaccurate (1),5,Very inaccurate (1),2,Very inaccurate (1),Very inaccurate (1),5,Very inaccurate (1),3,Very inaccurate (1),Very accurate (7),Very accurate (7),Very inaccurate (1),6,Very inaccurate (1),4,Very inaccurate (1),Very inaccurate (1),4,5,Very inaccurate (1),Somewhat disagree,1 - Not at all religious,Slightly agree,Very strongly disagree,Very strongly disagree,Very strongly agree,Slightly agree,Very strongly disagree,High School,5,2,5,8,52,NA,Coffee,60
20815,1273,"English, Spanish",21,Female,White,United States,United States,United States,English,No,Full-Time,2023-06-20T14:37:38Z,2023-06-20T14:53:42Z,100,963,TRUE,2023-06-20T14:53:43Z,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"I would have £0.40, Player 2 would have £0.00",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.50, Player 2 would have £0.20","I would have £0.70, Player 2 would have £0.20",No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.20",NA,Yes - I want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.40",NA,Yes - I want to pay £0.10 to reduce Player 2's bonus by £0.10,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.10,"I would have £0.40, Player 2 would have £0.40",NA,Yes - I want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.90, Player 1 would have £0.70, Player 2 would have £0.60","I would have £0.90, Player 1 would have £0.50, Player 2 would have £0.60",No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,7,NA,Yes - I want to take £0.20 of Player 1's bonus,How I would feel fi i was the other person but as well how much i would benefit,0,73,74,64,0,0,1,0,78,85,0,Yes,NA,2023-06-28T14:19:47Z,2023-06-28T14:28:19Z,100,511,TRUE,2023-06-28T14:28:20Z,Yes,Yes,Yes,Yes,Yes,Yes,3 - Slightly oppose,2 - Somewhat oppose,5 - Slightly favour,7 - Strongly favour,2 - Somewhat oppose,1 - Strongly oppose,7 - Strongly favour,7 - Strongly favour,"85
|
|
85",100||50,"85
|
|
85","68
|
|
58","75
|
|
75","85
|
|
85","81
|
|
81","95
|
|
95","81
|
|
81","93
|
|
93","85
|
|
85","94
|
|
91","75
|
|
75","93
|
|
93","93
|
|
88",Very inaccurate (1),Very accurate (7),Very accurate (7),Very accurate (7),Very inaccurate (1),Very inaccurate (1),Very accurate (7),Very inaccurate (1),Very accurate (7),6,Very inaccurate (1),5,Very accurate (7),Very accurate (7),Very inaccurate (1),Very accurate (7),Very inaccurate (1),2,Very accurate (7),3,Very accurate (7),Very inaccurate (1),Very inaccurate (1),Very inaccurate (1),Slightly agree,3,Very strongly agree,Very strongly agree,Very strongly disagree,Very strongly agree,Slightly disagree,Slightly disagree,High School,5,2,4,41,52,NA,A poptart,21
20816,1141,English,26,Female,White,United States,United States,United States,English,No,Full-Time,2023-06-20T14:47:20Z,2023-06-20T14:55:20Z,100,480,TRUE,2023-06-20T14:55:21Z,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"I would have £0.40, Player 2 would have £0.00",NA,Yes - I want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.20",NA,Yes - I want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.20",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.40",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.10,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.10,"I would have £0.40, Player 2 would have £0.40",NA,Yes - I want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.90, Player 1 would have £0.50, Player 2 would have £0.60",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,7,NA,No - I do not want to take £0.20 of Player 1's bonus,If I had more I didn't really bother to take any,0,24,71,42,0,0,28,0,100,61,0,No,NA,2023-06-27T14:09:43Z,2023-06-27T14:14:47Z,100,304,TRUE,2023-06-27T14:14:49Z,Yes,Yes,Yes,Yes,Yes,Yes,1 - Strongly oppose,1 - Strongly oppose,6 - Somewhat favour,6 - Somewhat favour,2 - Somewhat oppose,2 - Somewhat oppose,6 - Somewhat favour,4 - Neutral,"85
|
|
85",100||50,"85
|
|
85","50
|
|
100","75
|
|
75","85
|
|
85","70
|
|
100","100
|
|
90","50
|
|
100","90
|
|
100","100
|
|
70","100
|
|
90","75
|
|
75","85
|
|
95","90
|
|
100",3,5,5,4,5,4,4,3,5,5,3,4,5,6,5,3,5,Very inaccurate (1),5,5,3,3,4,5,Somewhat disagree,1 - Not at all religious,Slightly agree,Slightly agree,Very strongly disagree,Very strongly agree,Slightly disagree,Neither agree nor disagree,Completed university,4,2,5,14,52,NA,bagel,26
20817,1068,English,59,Male,Other,United States,United States,United States,English,No,Full-Time,2023-06-20T14:27:25Z,2023-06-20T14:55:48Z,100,1702,TRUE,2023-06-20T14:55:49Z,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"I would have £0.50, Player 2 would have £0.00","I would have £0.70, Player 2 would have £0.00",No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.50, Player 2 would have £0.20","I would have £0.40, Player 2 would have £0.20",No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.70, Player 2 would have £0.20","I would have £0.40, Player 2 would have £0.20",No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.50, Player 2 would have £0.40","I would have £0.40, Player 2 would have £0.50",No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.10,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.10,"I would have £0.50, Player 2 would have £0.40","I would have £0.40, Player 2 would have £0.40",No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.90, Player 1 would have £0.70, Player 2 would have £0.60","I would have £0.90, Player 1 would have £0.70, Player 2 would have £0.60",No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,7,NA,No - I do not want to take £0.20 of Player 1's bonus,"My intention was to be fair, that's all.",0,0,0,100,0,0,0,0,100,0,0,No,NA,2023-06-27T14:10:01Z,2023-06-27T14:21:19Z,100,677,TRUE,2023-06-27T14:21:20Z,Yes,Yes,Yes,Yes,Yes,Yes,1 - Strongly oppose,1 - Strongly oppose,7 - Strongly favour,7 - Strongly favour,2 - Somewhat oppose,1 - Strongly oppose,7 - Strongly favour,7 - Strongly favour,"85
|
|
85",100||50,"85
|
|
85","63
|
|
68","75
|
|
75","85
|
|
85","81
|
|
81","95
|
|
95","81
|
|
81","93
|
|
93","85
|
|
85","94
|
|
91","75
|
|
75","93
|
|
93","91
|
|
94",Very inaccurate (1),4,Very accurate (7),Very inaccurate (1),Very accurate (7),2,Very accurate (7),4,Very inaccurate (1),Very accurate (7),Very inaccurate (1),4,Very inaccurate (1),6,Very accurate (7),Very inaccurate (1),Very accurate (7),Very inaccurate (1),Very accurate (7),4,2,2,Very inaccurate (1),5,Somewhat disagree,1 - Not at all religious,Strongly agree,Very strongly disagree,Very strongly disagree,Very strongly agree,Strongly agree,Very strongly disagree,Diploma / other professional certificate,1,Strongly disagree (1),4,69,52,NA,I haven't eaten breakfast yet.,59
20818,1481,"English, Spanish",65,Female,White,United States,United States,United States,English,No,Part-Time,2023-06-20T14:35:39Z,2023-06-20T14:55:50Z,100,1210,TRUE,2023-06-20T14:55:50Z,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"I would have £0.50, Player 2 would have £0.00","I would have £0.40, Player 2 would have £0.00",No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.20",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.20",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.40",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.10,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.10,"I would have £0.40, Player 2 would have £0.40",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.90, Player 1 would have £0.70, Player 2 would have £0.60","I would have £1.30, Player 1 would have £0.50, Player 2 would have £0.60",No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,7,NA,No - I do not want to take £0.20 of Player 1's bonus,I did not want to take anything from another player,0,0,0,0,0,0,0,0,100,0,0,Yes,NA,2023-06-27T15:20:06Z,2023-06-27T15:32:52Z,100,766,TRUE,2023-06-27T15:32:54Z,Yes,Yes,Yes,Yes,Yes,Yes,1 - Strongly oppose,1 - Strongly oppose,7 - Strongly favour,7 - Strongly favour,1 - Strongly oppose,1 - Strongly oppose,7 - Strongly favour,7 - Strongly favour,"85
|
|
85",100||50,"85
|
|
85","68
|
|
58","88
|
|
63","85
|
|
85","81
|
|
81","95
|
|
95","81
|
|
81","93
|
|
93","85
|
|
85","100
|
|
90","75
|
|
75","93
|
|
93","93
|
|
88",5,Very accurate (7),3,Very inaccurate (1),6,Very inaccurate (1),3,2,3,4,2,3,3,6,Very accurate (7),Very inaccurate (1),6,Very inaccurate (1),2,2,5,6,Very accurate (7),Very inaccurate (1),Slightly disagree,1 - Not at all religious,Neither agree nor disagree,Very strongly disagree,Very strongly disagree,Very strongly agree,Slightly disagree,Slightly agree,Completed university,7,Strongly disagree (1),Strongly agree (7),4,52,NA,banana,65
20819,74,English,21,Female,White,United States,United States,United States,English,NA,NA,2023-06-20T14:21:56Z,2023-06-20T14:57:05Z,100,2109,TRUE,2023-06-20T14:57:06Z,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"I would have £0.70, Player 2 would have £0.00","I would have £0.40, Player 2 would have £0.00",Yes - I want to pay £0.10 to reduce Player 2's bonus by £0.30,Yes - I want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.50, Player 2 would have £0.20","I would have £0.70, Player 2 would have £0.20",No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,Yes - I want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.80, Player 2 would have £0.20","I would have £0.70, Player 2 would have £0.20",Yes - I want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.40",NA,Yes - I want to pay £0.10 to reduce Player 2's bonus by £0.10,Yes - I want to pay £0.10 to reduce Player 2's bonus by £0.10,"I would have £0.80, Player 2 would have £0.40","I would have £0.70, Player 2 would have £0.40",Yes - I want to pay £0.10 to reduce Player 2's bonus by £0.30,Yes - I want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.90, Player 1 would have £0.50, Player 2 would have £0.00","I would have £0.90, Player 1 would have £0.70, Player 2 would have £0.60",Yes - I want to pay £0.10 to reduce Player 2's bonus by £0.30,Yes - I want to pay £0.10 to reduce Player 2's bonus by £0.30,7,NA,Yes - I want to take £0.20 of Player 1's bonus,i try to do something new,92,54,4,67,66,4,13,10,5,4,6,Yes,NA,2023-07-01T20:21:59Z,2023-07-01T20:29:08Z,100,429,TRUE,2023-07-01T20:29:09Z,Yes,Yes,Yes,Yes,Yes,Yes,5 - Slightly favour,5 - Slightly favour,3 - Slightly oppose,6 - Somewhat favour,6 - Somewhat favour,4 - Neutral,5 - Slightly favour,4 - Neutral,"85
|
|
59",100||50,"85
|
|
85","85
|
|
15","100
|
|
50","100
|
|
50","100
|
|
50","100
|
|
90","100
|
|
70","100
|
|
70","100
|
|
70","100
|
|
90","100
|
|
50","100
|
|
90","100
|
|
50",Very accurate (7),4,Very accurate (7),4,5,6,6,5,6,5,Very accurate (7),6,4,4,Very accurate (7),4,5,6,5,6,6,5,6,6,Strongly agree,5 - Very religious,Strongly agree,Strongly agree,Neither agree nor disagree,Slightly disagree,Strongly agree,Slightly agree,Masters degree,3,6,4,15,52,NA,egg and bread,25
20820,3458,English,59,Male,White,United States,United States,United States,English,No,Part-Time,2023-06-20T14:44:24Z,2023-06-20T14:57:09Z,100,765,TRUE,2023-06-20T14:57:10Z,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"I would have £0.40, Player 2 would have £0.00",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.20",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.20",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.40",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.10,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.10,"I would have £0.40, Player 2 would have £0.40",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.90, Player 1 would have £0.50, Player 2 would have £0.60",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,7,NA,No - I do not want to take £0.20 of Player 1's bonus,I saw no reason to reduce the total payout.  I would not pay to reduce another player's payout. I would not cause harm to another.,0,0,0,0,0,0,0,0,100,0,0,Other (please explain),Possibly.  But I made my decisions as if there were real people involved.,2023-06-27T20:41:23Z,2023-06-27T20:48:56Z,100,452,TRUE,2023-06-27T20:48:58Z,Yes,Yes,Yes,Yes,Yes,Yes,1 - Strongly oppose,1 - Strongly oppose,7 - Strongly favour,7 - Strongly favour,4 - Neutral,1 - Strongly oppose,7 - Strongly favour,7 - Strongly favour,"85
|
|
85",100||50,"85
|
|
85","63
|
|
68","75
|
|
75","85
|
|
85","81
|
|
81","95
|
|
95","81
|
|
81","93
|
|
93","85
|
|
85","100
|
|
90","75
|
|
75","93
|
|
93","90
|
|
100",2,5,3,Very inaccurate (1),5,Very inaccurate (1),Very inaccurate (1),2,3,5,2,Very inaccurate (1),Very inaccurate (1),4,3,2,6,Very inaccurate (1),3,Very inaccurate (1),Very inaccurate (1),2,5,Very inaccurate (1),Strongly disagree,1 - Not at all religious,Somewhat agree,Very strongly disagree,Very strongly disagree,Very strongly agree,Neither agree nor disagree,Strongly disagree,High School,3,Strongly disagree (1),Strongly agree (7),38,52,NA,"eggs, potatoes and granola",59
20821,2538,English,25,Male,White,United States,United States,United States,English,NA,NA,2023-06-20T14:39:56Z,2023-06-20T14:57:10Z,100,1033,TRUE,2023-06-20T14:57:11Z,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"I would have £0.40, Player 2 would have £0.00",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.20",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.20",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.20","I would have £0.40, Player 2 would have £0.20",No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.10,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.10,"I would have £0.40, Player 2 would have £0.40",NA,Yes - I want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.90, Player 1 would have £0.50, Player 2 would have £0.60",NA,Yes - I want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,7,NA,Yes - I want to take £0.20 of Player 1's bonus,Just fairness.,100,0,0,100,100,51,0,0,0,0,0,Yes,NA,2023-06-27T21:31:32Z,2023-06-27T21:39:03Z,100,450,TRUE,2023-06-27T21:39:04Z,Yes,Yes,Yes,Yes,Yes,Yes,3 - Slightly oppose,2 - Somewhat oppose,7 - Strongly favour,7 - Strongly favour,2 - Somewhat oppose,1 - Strongly oppose,7 - Strongly favour,7 - Strongly favour,"85
|
|
85",100||50,"85
|
|
85","63
|
|
68","75
|
|
75","85
|
|
85","81
|
|
81","95
|
|
95","81
|
|
81","93
|
|
93","85
|
|
85","94
|
|
91","75
|
|
75","93
|
|
93","91
|
|
94",2,Very accurate (7),Very accurate (7),Very inaccurate (1),5,4,5,Very inaccurate (1),2,4,Very inaccurate (1),4,2,Very accurate (7),Very accurate (7),Very inaccurate (1),Very accurate (7),4,Very accurate (7),Very inaccurate (1),Very inaccurate (1),Very inaccurate (1),5,4,Strongly agree,5 - Very religious,Slightly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Somewhat agree,Completed university,5,Strongly disagree (1),Strongly agree (7),51,52,NA,Biscuits and gravy with a side of fried eggs,25
20822,5665,English,59,Female,White,United States,United States,United States,English,No,Full-Time,2023-06-20T14:38:36Z,2023-06-20T14:57:25Z,100,1129,TRUE,2023-06-20T14:57:26Z,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"I would have £0.40, Player 2 would have £0.00",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.20",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.20",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.40",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.10,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.10,"I would have £0.50, Player 2 would have £0.40","I would have £0.40, Player 2 would have £0.40",No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.90, Player 1 would have £0.50, Player 2 would have £0.60",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,7,NA,Yes - I want to take £0.20 of Player 1's bonus,My main motivation for making the decisions in the games was to make/keep the most money for myself as possible,8,84,70,2,8,13,5,10,22,74,5,Yes,NA,2023-06-27T15:27:10Z,2023-06-27T15:36:15Z,100,544,TRUE,2023-06-27T15:36:16Z,Yes,Yes,Yes,Yes,Yes,Yes,6 - Somewhat favour,2 - Somewhat oppose,6 - Somewhat favour,6 - Somewhat favour,6 - Somewhat favour,6 - Somewhat favour,3 - Slightly oppose,3 - Slightly oppose,"85
|
|
85",100||50,"85
|
|
85","85
|
|
15","100
|
|
50","100
|
|
50","100
|
|
50","100
|
|
90","100
|
|
70","100
|
|
70","100
|
|
70","100
|
|
90","100
|
|
50","100
|
|
90","100
|
|
50",4,6,5,2,5,3,2,3,3,5,2,4,3,5,5,3,6,4,4,3,3,2,6,4,Somewhat agree,1 - Not at all religious,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Slightly disagree,Diploma / other professional certificate,3,2,5,74,52,NA,"I had 2 eggs, strawberries and a banana for breakfast this morning",59
20823,3162,English,59,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",2023-06-20T14:31:51Z,2023-06-20T14:58:53Z,100,1621,TRUE,2023-06-20T14:58:54Z,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"I would have £0.40, Player 2 would have £0.00",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.20",NA,Yes - I want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.20",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.20","I would have £0.40, Player 2 would have £0.40",Yes - I want to pay £0.10 to reduce Player 2's bonus by £0.10,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.10,"I would have £0.50, Player 2 would have £0.40","I would have £0.40, Player 2 would have £0.40",Yes - I want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £1.30, Player 1 would have £0.50, Player 2 would have £0.60","I would have £0.90, Player 1 would have £0.50, Player 2 would have £0.60",No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,7,NA,No - I do not want to take £0.20 of Player 1's bonus,"really just trying to be fair,,",0,10,0,84,0,2,0,0,61,0,0,Yes,NA,2023-06-27T16:18:57Z,2023-06-27T16:42:28Z,100,1411,TRUE,2023-06-27T16:42:29Z,Yes,Yes,Yes,Yes,Yes,Yes,3 - Slightly oppose,4 - Neutral,5 - Slightly favour,6 - Somewhat favour,6 - Somewhat favour,3 - Slightly oppose,5 - Slightly favour,5 - Slightly favour,"85
|
|
85",100||50,"85
|
|
85","85
|
|
15","75
|
|
75","85
|
|
85","81
|
|
81","95
|
|
95","100
|
|
70","95
|
|
85","85
|
|
85","100
|
|
90","75
|
|
75","100
|
|
90","95
|
|
75",Very inaccurate (1),6,6,3,2,Very inaccurate (1),6,3,6,Very accurate (7),3,2,6,5,6,2,3,4,6,4,Very accurate (7),Very inaccurate (1),Very inaccurate (1),4,Slightly disagree,2,Neither agree nor disagree,Slightly agree,Neither agree nor disagree,Somewhat agree,Slightly disagree,Strongly agree,Diploma / other professional certificate,5,2,3,49,52,NA,"egg's, bacon,grits",59
